"IID","IName","IUseLevel","IID Desc","Класс","SPID","SPID Desc","SID","SID Desc","SID Type","SID Type Desc","SID Анимация","SID Эффект","AID","AID Описание","AID Type","AID Type Описание","ALevel","AID Effect","MID","MID Type","MID Type Описание","MID Level","MID A Param","MID A Param Описание","MID B Param","MID B Param Описание","MID C Param","MID C Param Описание"
"1941","Боевой дракон","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1985","Боевой дракон (1 день)","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"1998","Жезл призыва дракона (пробный)","0","Жезл призыва дракона.",,,,"114","","0",,"","0","173","Скорость перемещения повышена.","46","Перемещение на драконе","2","1094","180","43","Удаление","2","700","а это скорость","0","","0",""
"2001","Кольцо Боевого Дракона","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"2441","Кольцо резвого дракона","0","Дракон, которого невозможно опутать.\n\nПризыв Дракона\n100% сопротивление опутыванию",,,,"312","","1","Проп","","0","485","Скорость перемещения повышена.","46","Перемещение на драконе","10","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"2557","Кольцо Рудольфа","0","Кольцо, призывающее Рудольфа, которого можно увидеть только к Рождеству.\n\nПризыв Рудольфа",,,,"365","","1","Проп","","0","500","Скорость перемещения повышена.","46","Перемещение на драконе","11","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"2586","[Особое]Кольцо Боевого Дракона","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"3352","Кольцо вьюги","0","Кольцо с символом зимы.\nВсе параметры +1\nУвеличивается точность всех типов атак\nУвеличивается вероятность критической атаки\nДополнительное увеличение силы критической атаки.",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"4167","Кольцо принца драконов","0","Кольцо, призывающее прекрасного дракона.\n\nПризыв дракона",,,,"667","","1","Проп","","0","834","Скорость перемещения повышена.","46","Перемещение на драконе","12","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"4890","Боевой дракон (21 день)","0","Кольцо, которое призывает взрослого дракона.\n\nПризыв дракона",,,,"243","","1","Проп","","0","309","Скорость перемещения повышена.","46","Перемещение на драконе","8","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"5682","Кольцо Химеры","0","При использовании можно оседлать химеру.\n\nМожно использовать в святой земле Иллюмина.\nПри использовании дает 5000 веса и скорость бега",,,,"1419","","1","Проп","0","0","1575","Скорость перемещения повышена.","46","Перемещение на драконе","14","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"5683","Ездовой дракон завоевания","0","Кольцо призыва ездового дракона, которое вручается последнему победителю всеобщей битвы гильдии.\n\nПри применении призывает дракона.\nПри использовании дает 5000 веса и скорость бега",,,,"1420","","1","Проп","0","0","1576","Скорость перемещения повышена.","46","Перемещение на драконе","13","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"6534","Кольцо грифона","0","Помогает оседлать грифона.\n\nМожно использовать в Руинах полнолуния или святой земле Иллюмина.\nПри использовании дает 5000 веса и скорость бега",,,,"1936","","1","Проп","0","0","2231","Скорость перемещения повышена.","46","Перемещение на драконе","15","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
"7990","Кольцо принца драконов","0","Кольцо, призывающее прекрасного дракона.\n\nПризыв дракона",,,,"667","","1","Проп","","0","834","Скорость перемещения повышена.","46","Перемещение на драконе","12","1094","140","43","Удаление","1","800","а это скорость","0","","0",""
